type,category,title,link
classical_art,Abstract,"Martwa natura z pomarańczą, butelką i kałamarzem (1934) ",https://artvee.com/dl/martwa-natura-z-pomarancza-butelka-i-kalamarzem/
classical_art,Abstract,Suggestions pour étoffes et tapis Pl.15 (1923) ,https://artvee.com/dl/suggestions-pour-etoffes-et-tapis-pl-15/
classical_art,Abstract,"Madonka I., II., III (1931) ",https://artvee.com/dl/madonka-i-ii-iii/
classical_art,Abstract,Abstract Pattern Portfolio Pl.20 (1930) ,https://artvee.com/dl/abstract-pattern-portfolio-pl-20/
classical_art,Abstract,In the bag (1930-1940) ,https://artvee.com/dl/in-the-bag/
classical_art,Abstract,Wigman – Tanz (1926) ,https://artvee.com/dl/wigman-tanz/
classical_art,Abstract,Collection decors et couleurs Pl.19 (1930) ,https://artvee.com/dl/collection-decors-et-couleurs-pl-19/
classical_art,Abstract,"Intelligence, Industrial Progress, Technological Progress",https://artvee.com/dl/intelligence-industrial-progress-technological-progress/
classical_art,Abstract,Portaal. Valvab ja valgustab III (2000) ,https://artvee.com/dl/portaal-valvab-ja-valgustab-iii-2/
classical_art,Abstract,Ontwerp voor raam in het Noordertransept in de Dom te Utrecht 13 (ca. 1878-1938) ,https://artvee.com/dl/ontwerp-voor-raam-in-het-noordertransept-in-de-dom-te-utrecht-13/
classical_art,Abstract,Na okraji mesta (1927) ,https://artvee.com/dl/na-okraji-mesta-2/
classical_art,Abstract,Siddende kvindelig model (1939) ,https://artvee.com/dl/siddende-kvindelig-model/
classical_art,Abstract,K VII (1922) ,https://artvee.com/dl/k-vii/
classical_art,Abstract,"Die Arm=Sünd’r=Gloke, zu Breeslau, in der Stadt (1930) ",https://artvee.com/dl/die-armsundrgloke-zu-breeslau-in-der-stadt/
classical_art,Abstract,A Shop and Two Figures (1882) ,https://artvee.com/dl/a-shop-and-two-figures/
classical_art,Abstract,Bamboo and rising sun (1829) ,https://artvee.com/dl/bamboo-and-rising-sun/
classical_art,Abstract,Preparatory drawing for ‘The teaching of the Indians’ (1941) ,https://artvee.com/dl/preparatory-drawing-for-the-teaching-of-the-indians/
classical_art,Abstract,"Griekse motieven, onder andere met golven (1890) ",https://artvee.com/dl/griekse-motieven-onder-andere-met-golven/
classical_art,Abstract,Breton Women with Seaweed (1892) ,https://artvee.com/dl/breton-women-with-seaweed/
classical_art,Abstract,Band concert (1901) ,https://artvee.com/dl/band-concert/
classical_art,Abstract,Abstracte compositie (1906 - 1945) ,https://artvee.com/dl/abstracte-compositie/
classical_art,Abstract,Bauplatz der I. G. Farben (1929) ,https://artvee.com/dl/bauplatz-der-i-g-farben-6/
classical_art,Abstract,Kunstgewerbliche Schmuckformen fur die Flache Pl 05 (1920) ,https://artvee.com/dl/kunstgewerbliche-schmuckformen-fur-die-flache-pl-05/
classical_art,Abstract,Suggestions pour étoffes et tapis Pl.11 (1923) ,https://artvee.com/dl/suggestions-pour-etoffes-et-tapis-pl-11/
classical_art,Abstract,Miscellaneous small sketches for inlaid table tops.] [Design with red and orange circular motif (1930) ,https://artvee.com/dl/miscellaneous-small-sketches-for-inlaid-table-tops-design-with-red-and-orange-circular-motif/
classical_art,Abstract,Tanzender weiblicher Akt im Atelier (1930) ,https://artvee.com/dl/tanzender-weiblicher-akt-im-atelier/
